"Identificador de URL";Nombre;Categorías;"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";Precio;"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";Stock;SKU;"Código de barras";"Mostrar en tienda";"Envío sin cargo";Descripción;Tags;"Título para SEO";"Descripción para SEO";Marca;"Producto Físico";"MPN (Número de pieza del fabricante)";Sexo;"Rango de edad"
canasto-organizador-plastico-33x17-5x15cm-varios-colores;"CANASTO ORGANIZADOR PLASTICO 33X17.5X15CM VARIOS COLORES";"NOVEDADES, ORGANIZA TU HOGAR, HOGAR";Color;Gris;;;;;1,281.51;1,025.20;0.10;10.00;10.00;10.00;2;DE8338C;;SI;NO;"<p><strong><em><span style=""color: rgb(88, 89, 91); font-family: Oswald, sans-serif; font-size: 16px;"">CANASTO ORGANIZADOR PLASTICO</span></em></strong></p>

<p><span style=""color: rgb(88, 89, 91); font-family: Oswald, sans-serif; font-size: 16px;"">Medidas: 33 cm X 17.5 cm X 15 cm&nbsp;</span></p>
";;;;;SI;;;
canasto-organizador-plastico-33x17-5x15cm-varios-colores;;;Color;"gris oscuro";;;;;1,281.51;1,025.20;0.10;10.00;10.00;10.00;2;DE8338B;;;;;;;;;;;;
canasto-organizador-plastico-33x17-5x15cm-varios-colores;;;Color;Blanco;;;;;1,281.51;1,025.20;0.10;10.00;10.00;10.00;2;DE8338A;;;;;;;;;;;;
canasto-organizador-plastico-23x165x75cm-varios-colores;"CANASTO ORGANIZADOR PLASTICO 23X16,5X7,5CM VARIOS COLORES";"NOVEDADES, ORGANIZA TU HOGAR, HOGAR";;;;;;;630.56;;0.10;10.00;10.00;10.00;2;DE8339;;SI;NO;"<p><em><strong><span style=""font-size: 13px;"">CANASTO ORGANIZADOR PLASTICO</span></strong></em></p>

<p><span style=""font-size: 13px;"">Medidas: 23X16,5X7,5CM</span></p>
";;;;;SI;;;
canasto-organizador-plastico-29x215x9cm-varios-colores;"CANASTO ORGANIZADOR PLASTICO 29X21,5X9CM VARIOS COLORES";"NOVEDADES, ORGANIZA TU HOGAR, HOGAR";Color;Gris;;;;;1,035.07;828.05;0.10;10.00;10.00;10.00;2;DE8340B;;SI;NO;"<p><em><strong><span style=""font-size: 13px;"">CANASTO ORGANIZADOR PLASTICO</span></strong></em></p>

<p><span style=""font-size: 13px;"">29X21,5X9CM</span></p>
";;;;;SI;;;
canasto-organizador-plastico-29x215x9cm-varios-colores;;;Color;"Gris oscuro";;;;;1,035.07;828.05;0.10;10.00;10.00;10.00;2;DE8340C;;;;;;;;;;;;
canasto-organizador-plastico-29x215x9cm-varios-colores;;;Color;Blanco;;;;;1,035.07;828.05;0.10;10.00;10.00;10.00;2;DE8340A;;;;;;;;;;;;
canasto-organizador-plastico-varios-colores;"CANASTO ORGANIZADOR PLASTICO VARIOS COLORES";"NOVEDADES, ORGANIZA TU HOGAR, HOGAR";Color;Celeste;;;;;1,065.51;852.48;0.10;10.00;10.00;10.00;2;DE8341C;;SI;NO;"<p><em><strong>Canasto organizador</strong></em></p>

<p>Varios colores.</p>

<p><span style=""font-size: 13px;"">Medidas: 28X21.5X14.5CM</span></p>
";;;;;SI;;;
canasto-organizador-plastico-varios-colores;;;Color;Gris;;;;;1,065.51;852.48;0.10;10.00;10.00;10.00;2;DE8341B;;;;;;;;;;;;
canasto-organizador-plastico-varios-colores;;;Color;Blanco;;;;;1,065.51;852.48;0.10;10.00;10.00;10.00;2;DE8341A;;;;;;;;;;;;
set-de-cucharas-medidoras-x5pc-30-60-80-125-250ml;"SET DE CUCHARAS MEDIDORAS X5PC (30/60/80/125/250ML)";"NOVEDADES, HOGAR > ARTS.DE COCINA";;;;;;;812.43;649.49;0.10;10.00;10.00;10.00;10;BA8295;;SI;NO;"<p>SET DE CUCHARAS MEDIDORAS X5PC</p>

<p>Incluye:</p>

<ul>
	<li>
	<p>Cuchara 30 ml</p>
	</li>
	<li>
	<p>Cuchara 60 ml</p>
	</li>
	<li>
	<p>Cuchara 80 ml</p>
	</li>
	<li>
	<p>Cuchara 125&nbsp;ml</p>
	</li>
	<li>
	<p>Cuchara 250&nbsp;ml</p>
	</li>
</ul>
";;;;;SI;;;
esponja-bola-con-mango-plastico-10x6-5-cm;"ESPONJA BOLA CON MANGO PLASTICO 10X6.5 CM";"LIMPIEZA, NOVEDADES, HOGAR > ARTS.DE COCINA";;;;;;;751.07;901.28;0.10;10.00;10.00;10.00;10;BA8308;;SI;NO;"<p>Esponja bola&nbsp;</p>

<p>Medidas: 10 cm x 6,5 cm</p>
";;;;;SI;;;
apoya-utensilios-de-cocina-19x14-cm;"APOYA UTENSILIOS DE COCINA 19X14 CM";"ORGANIZA TU HOGAR, HOGAR > UTENSILIOS";;;;;;;744.42;595.53;0.10;10.00;10.00;10.00;10;BA8310;;SI;NO;"<p>Apoya utensilios</p>

<p>Medidas: 19 cm x 14 cm</p>
";;;;;SI;;;
blanco-escurridor-de-platos-de-pl-plegable-36x30-5-cm;"BLANCO ESCURRIDOR DE PLATOS DE PL.PLEGABLE 36X30.5 CM";"NOVEDADES, HOGAR > SECAPLATOS Y CUBIERTEROS, ORGANIZA TU HOGAR";;;;;;;2,088.22;1,670.57;0.10;10.00;10.00;10.00;10;BA8325;;SI;NO;;;;;;SI;;;
aqua-escurridor-de-cubiertos-plastico-16x17-5x10cm;"AQUA ESCURRIDOR DE CUBIERTOS PLASTICO 16X17.5X10CM";"NOVEDADES, HOGAR > SECAPLATOS Y CUBIERTEROS, ORGANIZA TU HOGAR";;;;;;;1,862.57;1,490.05;0.10;10.00;10.00;10.00;10;BA8327;;SI;NO;"<p>Escurridos de cubiertos</p>

<p>Medidas:&nbsp;&nbsp;16X17.5X10CM</p>

<p>&nbsp;</p>
";;;;;SI;;;
panel-de-mica-liliana-calority-1000-2000w-blanco;"PANEL DE MICA LILIANA CALORITY 1000/2000W BLANCO";ELECTRODOMESTICOS;;;;;;;14,907.05;;0.10;10.00;10.00;10.00;10;CCCM700;;SI;NO;"<p><em><strong>Panel de mica</strong></em></p>

<p>&nbsp;</p>
";;;;;SI;;;
